r,AS25_1,SD25_1,AS5_1,SD5_1,AS75_1,SD75_1,AS10_1,SD10_1,AS25_2,SD25_2,AS5_2,SD5_2,AS75_2,SD75_2,AS10_2,SD10_2,AS25_3,SD25_3,AS5_3,SD5_3,AS75_3,SD75_3,AS10_3,SD10_3,AS25_4,SD25_4,AS5_4,SD5_4,AS75_4,SD75_4,AS10_4,SD10_4,AS25_5,SD25_5,AS5_5,SD5_5,AS75_5,SD75_5,AS10_5,SD10_5
0.1,0.0913752917,0.0677513028,0.0803066533,0.0600330167,0.0951673078,0.0701087243,0.1114576922,0.0583706308,0.0786742489,0.0479148787,0.0626512007,0.0435012051,0.0811152912,0.0616291575,0.1183009722,0.1039433695,0.0726193724,0.0490409256,0.0819745541,0.0614443153,0.0889177082,0.0626106283,0.1108445624,0.0778088232,0.0499710141,0.0308482872,0.0464790679,0.0347001284,0.0501342683,0.0318717679,0.0526833611,0.032007939,0.5409177701,0.3831176958,0.4670348973,0.349820682,0.5325164146,0.3500141468,0.4487826414,0.3791000363
0.2,0.5540634778,0.4600115536,0.5438621312,0.3797650254,0.3543735578,0.211303306,0.5219810101,0.3288978816,0.0724377631,0.0411198904,0.0826081455,0.068072112,0.0734536761,0.0585911326,0.0951057605,0.0615587154,0.08202176,0.0631836123,0.0949445622,0.0598828546,0.1201389398,0.0772500489,0.2171094517,0.2440464084,0.0983194436,0.051091858,0.0828444784,0.0656424547,0.0938490259,0.0603939629,0.1044960997,0.0667020625,0.3710113652,0.3985728729,0.3985918115,0.3663782885,0.0938294854,0.0664114582,0.2299064945,0.1707867428
0.3,0.2544601824,0.2024845045,0.2097329299,0.1603160405,3.5568238535,3.2852472708,1.4593605649,1.3485864974,0.0882116614,0.0498592996,0.0771398317,0.0549255257,4.2968847547,3.610898381,5.8308399717,4.7371191504,0.1038403594,0.065402886,0.1386766945,0.1124335049,1.6275639588,2.9446265785,5.7008758383,3.6524025562,0.6114738908,0.4269238524,0.5541835294,0.4116204355,4.1586772555,3.3328331141,6.0822787235,4.0038585151,0.1782926036,0.1868924579,0.1580629711,0.1023467091,0.8578283932,2.5337560867,6.3766777123,4.66170234
0.4,0.6168941962,0.4452233171,0.5651341031,0.4820871024,3.3650431954,3.0616925375,5.8379422913,2.4876001988,0.2674264711,0.3683911746,2.0295752778,2.8869829198,6.0852598481,3.8652555826,6.1516436165,3.1775189912,0.6179804179,0.4827335459,3.2846346108,3.125643251,5.6567233078,3.3642822184,6.1628697453,2.9484221025,0.0993306051,0.0714824521,0.1438673523,0.1074543746,3.8206519791,4.364654915,4.5199847148,2.7267006703,2.2385395352,1.190747142,3.74802965,3.5889287384,5.3612834269,3.7682381993,6.6378269495,4.136826995
0.5,0.1059594148,0.0618872936,0.9871399347,1.9881442379,6.0538050986,3.1309311022,6.8058092881,4.0387805238,0.1273113628,0.0702729106,3.477038038,1.7030423596,6.3179778594,3.3018081584,6.3388926681,3.0102316177,0.1347961675,0.0965245009,4.2934005222,2.1944611416,5.618650677,3.1815870833,7.2760382056,1.863397078,0.6054484887,0.4755651147,4.7355662149,3.2687001187,5.2808419292,1.8459721653,6.6321443649,2.4178215193,0.2437038,0.1679893369,2.5257705596,1.9257760776,5.1945823047,2.3508764692,7.0020450905,3.3732615229
0.6,1.3649873018,1.5234825752,3.3516253063,1.2044833214,5.5332834635,1.4190787843,7.2820076752,1.3086360627,2.833533516,1.8739992415,3.534039924,0.9323920859,5.7010556127,1.7635337013,6.8454618968,3.2695275016,1.5016767942,2.1426938463,3.5001417414,1.4461341653,5.5443741066,1.4335141281,7.0140776432,1.2878021348,1.2858602626,1.7288923113,3.3443630084,1.5644542633,5.1726177086,1.2909595637,7.254633242,3.7593190795,2.402846887,1.3418480517,3.6742714972,1.1519887001,5.5458207384,1.4717668963,7.3015614558,0.9628364615
0.7,0.6429857846,0.4990196851,3.8405584144,1.8246222987,4.964037711,0.5728775406,7.4929396755,1.1574367344,1.9269451192,0.5310863424,3.5418351566,1.308823835,5.229372406,0.7855055305,7.1776152854,0.7434273562,1.4469742422,1.0151092043,3.4743765388,1.3806753009,5.2918237842,0.8886905289,7.3874778916,1.246547139,2.2161746922,1.0061309414,3.6755896767,1.5958463851,5.5992596658,1.8284861571,7.2144790074,0.7290217501,2.2213004178,1.4578160254,3.4734075926,1.1407062176,5.0697532818,0.7225293078,7.5673973835,1.4640448161
0.8,2.0894289319,1.0936636696,3.3038949351,0.7636428604,5.2392840822,0.9805255271,7.4332618256,1.0660006616,2.0276826784,0.905264161,3.5961868596,1.0550985209,5.3071826904,1.2939143549,7.4165698074,1.3439027023,2.3607566979,1.2305633249,3.4309174941,0.8862593508,4.7663424817,0.4996654258,6.9560503718,0.6016775792,2.5023377665,1.3109556716,3.3569835198,0.8487993899,5.5596915337,1.1610876934,7.1611409926,0.9642610292,2.498140968,1.8777692837,3.3164958328,0.9738694989,5.8642583833,2.134496186,7.6566966693,1.1343500069
0.9,1.8462868667,0.8052750542,3.2127083409,0.6389790978,4.7132399119,0.7201951635,7.3390582156,0.9742770133,1.8335870769,0.8342449856,3.231220719,0.8984647219,4.9790211537,0.9016842762,7.059734642,0.8127692186,1.920242237,0.8214857078,3.285366922,0.7827664937,5.0228869793,0.6773221872,7.1079402604,0.6513825396,2.1047527603,0.8305955801,3.6359651021,1.0028806012,4.8519447864,0.6219613075,7.3801028983,0.7695246619,2.0933757857,1.0295293538,3.2978970039,0.6904122544,5.1600925013,0.8151663045,7.0126686604,0.7331309778
1,1.872377937,0.6521607843,3.3371304668,0.9119996701,5.0960024814,0.9700513198,7.0459053628,0.4614303365,2.2141032126,1.0039777167,3.1737129476,0.6820251817,4.94693961,0.6249002222,7.3084673276,1.072907253,2.3081968351,1.0587112423,3.3829375643,0.9813170214,5.0104906931,0.4857648715,7.1565214038,0.5146073036,2.2182892759,1.0846607407,3.0982762353,0.3905531875,5.0447622096,0.7427848909,7.1544402855,0.5140520017,2.1717070223,1.1382057028,2.9811899754,0.4220891203,4.8657917365,0.4876238161,7.0038463601,0.5295886688
