r,avSpeed1,sdev1,avSpeed2,sdev2,avSpeed3,sdev3,avSpeed4,sdev4
0.1,0.0786742489,0.0479148787,0.0811152912,0.0616291575,0.0626512007,0.0435012051,0.1183009722,0.1039433695
0.2,0.0724377631,0.0411198904,0.0734536761,0.0585911326,0.0826081455,0.068072112,0.0951057605,0.0615587154
0.3,0.0882116614,0.0498592996,4.2968847547,3.610898381,0.0771398317,0.0549255257,5.8308399717,4.7371191504
0.4,0.2674264711,0.3683911746,6.0852598481,3.8652555826,2.0295752778,2.8869829198,6.1516436165,3.1775189912
0.5,0.1273113628,0.0702729106,6.3179778594,3.3018081584,3.477038038,1.7030423596,6.3388926681,3.0102316177
0.6,2.833533516,1.8739992415,5.7010556127,1.7635337013,3.534039924,0.9323920859,6.8454618968,3.2695275016
0.7,1.9269451192,0.5310863424,5.229372406,0.7855055305,3.5418351566,1.308823835,7.1776152854,0.7434273562
0.8,2.0276826784,0.905264161,5.3071826904,1.2939143549,3.5961868596,1.0550985209,7.4165698074,1.3439027023
0.9,1.8335870769,0.8342449856,4.9790211537,0.9016842762,3.231220719,0.8984647219,7.059734642,0.8127692186
1,2.2141032126,1.0039777167,4.94693961,0.6249002222,3.1737129476,0.6820251817,7.3084673276,1.072907253
